formula,formulaA,formulaB,stable
Y0.9 Cs0.1,Y,Cs,0
Tb0.9 Cs0.1,Tb,Cs,0
Ho0.9 Cs0.1,Ho,Cs,0
Lu0.9 Cs0.1,Lu,Cs,0
Se0.9 Cs0.1,Se,Cs,0
S0.9 Cs0.1,S,Cs,0
In0.9 Cs0.1,In,Cs,0
Pa0.9 Cs0.1,Pa,Cs,0
Zr0.9 Cs0.1,Zr,Cs,0
Mg0.9 Cs0.1,Mg,Cs,0
As0.9 Cs0.1,As,Cs,0
U0.9 Cs0.1,U,Cs,0
Np0.9 Cs0.1,Np,Cs,0
Nb0.9 Cs0.1,Nb,Cs,0
Ti0.9 Cs0.1,Ti,Cs,0
W0.9 Cs0.1,W,Cs,0
Mo0.9 Cs0.1,Mo,Cs,0
Zn0.9 Cs0.1,Zn,Cs,0
Rh0.9 Cs0.1,Rh,Cs,0
He0.9 Rb0.1,He,Rb,0
Ne0.9 Rb0.1,Ne,Rb,0
Kr0.9 Rb0.1,Kr,Rb,0
Cs0.9 Rb0.1,Cs,Rb,0
Sr0.9 Rb0.1,Sr,Rb,0
Eu0.9 Rb0.1,Eu,Rb,0
I0.9 Rb0.1,I,Rb,0
Br0.9 Rb0.1,Br,Rb,0
Ac0.9 Rb0.1,Ac,Rb,0
Ar0.9 Rb0.1,Ar,Rb,0
Gd0.9 Rb0.1,Gd,Rb,0
Tb0.9 Rb0.1,Tb,Rb,0
Dy0.9 Rb0.1,Dy,Rb,0
Lu0.9 Rb0.1,Lu,Rb,0
Tl0.9 Rb0.1,Tl,Rb,0
P0.9 Rb0.1,P,Rb,0
Se0.9 Rb0.1,Se,Rb,0
In0.9 Rb0.1,In,Rb,0
Pa0.9 Rb0.1,Pa,Rb,0
Hg0.9 Rb0.1,Hg,Rb,0
Mg0.9 Rb0.1,Mg,Rb,0
Cd0.9 Rb0.1,Cd,Rb,0
Ti0.9 Rb0.1,Ti,Rb,0
Au0.9 Rb0.1,Au,Rb,0
Mo0.9 Rb0.1,Mo,Rb,0
Pt0.9 Rb0.1,Pt,Rb,0
Zn0.9 Rb0.1,Zn,Rb,0
Tc0.9 Rb0.1,Tc,Rb,0
Os0.9 Rb0.1,Os,Rb,0
Rh0.9 Rb0.1,Rh,Rb,0
Mn0.9 Rb0.1,Mn,Rb,0
Ni0.9 Rb0.1,Ni,Rb,0
C0.9 Rb0.1,C,Rb,0
Be0.9 Rb0.1,Be,Rb,0
B0.9 Rb0.1,B,Rb,0
Ne0.9 K0.1,Ne,K,0
Rb0.9 K0.1,Rb,K,0
Br0.9 K0.1,Br,K,0
La0.9 K0.1,La,K,0
Pm0.9 K0.1,Pm,K,0
Ho0.9 K0.1,Ho,K,0
Tm0.9 K0.1,Tm,K,0
Tl0.9 K0.1,Tl,K,0
P0.9 K0.1,P,K,0
Sc0.9 K0.1,Sc,K,0
Zr0.9 K0.1,Zr,K,0
Li0.9 K0.1,Li,K,0
U0.9 K0.1,U,K,0
Np0.9 K0.1,Np,K,0
Nb0.9 K0.1,Nb,K,0
Ag0.9 K0.1,Ag,K,0
Au0.9 K0.1,Au,K,0
W0.9 K0.1,W,K,0
Ir0.9 K0.1,Ir,K,0
Rh0.9 K0.1,Rh,K,0
Mn0.9 K0.1,Mn,K,0
Cr0.9 K0.1,Cr,K,0
Cu0.9 K0.1,Cu,K,0
Ne0.9 Ba0.1,Ne,Ba,0
Rb0.9 Ba0.1,Rb,Ba,0
Sr0.9 Ba0.1,Sr,Ba,0
Yb0.9 Ba0.1,Yb,Ba,0
Br0.9 Ba0.1,Br,Ba,0
Ac0.9 Ba0.1,Ac,Ba,0
Ce0.9 Ba0.1,Ce,Ba,0
Nd0.9 Ba0.1,Nd,Ba,0
Sm0.9 Ba0.1,Sm,Ba,0
Te0.9 Ba0.1,Te,Ba,0
Er0.9 Ba0.1,Er,Ba,0
Sb0.9 Ba0.1,Sb,Ba,0
Tm0.9 Ba0.1,Tm,Ba,0
P0.9 Ba0.1,P,Ba,0
In0.9 Ba0.1,In,Ba,0
Np0.9 Ba0.1,Np,Ba,0
Ta0.9 Ba0.1,Ta,Ba,0
Ti0.9 Ba0.1,Ti,Ba,0
Ag0.9 Ba0.1,Ag,Ba,0
Au0.9 Ba0.1,Au,Ba,0
Al0.9 Ba0.1,Al,Ba,0
W0.9 Ba0.1,W,Ba,0
V0.9 Ba0.1,V,Ba,0
Rh0.9 Ba0.1,Rh,Ba,0
Cr0.9 Ba0.1,Cr,Ba,0
Cu0.9 Ba0.1,Cu,Ba,0
Fe0.9 Ba0.1,Fe,Ba,0
Ni0.9 Ba0.1,Ni,Ba,0
C0.9 Ba0.1,C,Ba,0
Kr0.9 Sr0.1,Kr,Sr,0
Eu0.9 Sr0.1,Eu,Sr,0
Yb0.9 Sr0.1,Yb,Sr,0
I0.9 Sr0.1,I,Sr,0
Ar0.9 Sr0.1,Ar,Sr,0
Ce0.9 Sr0.1,Ce,Sr,0
Nd0.9 Sr0.1,Nd,Sr,0
Sm0.9 Sr0.1,Sm,Sr,0
Pm0.9 Sr0.1,Pm,Sr,0
Gd0.9 Sr0.1,Gd,Sr,0
Y0.9 Sr0.1,Y,Sr,0
Ho0.9 Sr0.1,Ho,Sr,0
Sb0.9 Sr0.1,Sb,Sr,0
Tm0.9 Sr0.1,Tm,Sr,0
Lu0.9 Sr0.1,Lu,Sr,0
Sn0.9 Sr0.1,Sn,Sr,0
Pa0.9 Sr0.1,Pa,Sr,0
Hg0.9 Sr0.1,Hg,Sr,0
Zr0.9 Sr0.1,Zr,Sr,0
Ge0.9 Sr0.1,Ge,Sr,0
U0.9 Sr0.1,U,Sr,0
Ti0.9 Sr0.1,Ti,Sr,0
W0.9 Sr0.1,W,Sr,0
Pt0.9 Sr0.1,Pt,Sr,0
Re0.9 Sr0.1,Re,Sr,0
Tc0.9 Sr0.1,Tc,Sr,0
Os0.9 Sr0.1,Os,Sr,0
V0.9 Sr0.1,V,Sr,0
Ru0.9 Sr0.1,Ru,Sr,0
Cu0.9 Sr0.1,Cu,Sr,0
Fe0.9 Sr0.1,Fe,Sr,0
Ni0.9 Sr0.1,Ni,Sr,0
Be0.9 Sr0.1,Be,Sr,0
B0.9 Sr0.1,B,Sr,0
Ne0.9 Eu0.1,Ne,Eu,0
Cs0.9 Eu0.1,Cs,Eu,0
K0.9 Eu0.1,K,Eu,0
Yb0.9 Eu0.1,Yb,Eu,0
Ca0.9 Eu0.1,Ca,Eu,0
Na0.9 Eu0.1,Na,Eu,0
La0.9 Eu0.1,La,Eu,0
Ac0.9 Eu0.1,Ac,Eu,0
Ar0.9 Eu0.1,Ar,Eu,0
Nd0.9 Eu0.1,Nd,Eu,0
Sm0.9 Eu0.1,Sm,Eu,0
Gd0.9 Eu0.1,Gd,Eu,0
Tb0.9 Eu0.1,Tb,Eu,0
Er0.9 Eu0.1,Er,Eu,0
Pb0.9 Eu0.1,Pb,Eu,0
Tm0.9 Eu0.1,Tm,Eu,0
Se0.9 Eu0.1,Se,Eu,0
S0.9 Eu0.1,S,Eu,0
Sn0.9 Eu0.1,Sn,Eu,0
In0.9 Eu0.1,In,Eu,0
Zr0.9 Eu0.1,Zr,Eu,0
U0.9 Eu0.1,U,Eu,0
W0.9 Eu0.1,W,Eu,0
Mo0.9 Eu0.1,Mo,Eu,0
Ir0.9 Eu0.1,Ir,Eu,0
Rh0.9 Eu0.1,Rh,Eu,0
Cr0.9 Eu0.1,Cr,Eu,0
Cu0.9 Eu0.1,Cu,Eu,0
Co0.9 Eu0.1,Co,Eu,0
C0.9 Eu0.1,C,Eu,0
Be0.9 Eu0.1,Be,Eu,0
B0.9 Eu0.1,B,Eu,0
He0.9 Yb0.1,He,Yb,0
Ne0.9 Yb0.1,Ne,Yb,0
K0.9 Yb0.1,K,Yb,0
Br0.9 Yb0.1,Br,Yb,0
La0.9 Yb0.1,La,Yb,0
Ar0.9 Yb0.1,Ar,Yb,0
Xe0.9 Yb0.1,Xe,Yb,0
Bi0.9 Yb0.1,Bi,Yb,0
Pm0.9 Yb0.1,Pm,Yb,0
Y0.9 Yb0.1,Y,Yb,0
Tb0.9 Yb0.1,Tb,Yb,0
Ho0.9 Yb0.1,Ho,Yb,0
Er0.9 Yb0.1,Er,Yb,0
Pb0.9 Yb0.1,Pb,Yb,0
Sb0.9 Yb0.1,Sb,Yb,0
Lu0.9 Yb0.1,Lu,Yb,0
Tl0.9 Yb0.1,Tl,Yb,0
Sn0.9 Yb0.1,Sn,Yb,0
In0.9 Yb0.1,In,Yb,0
Cd0.9 Yb0.1,Cd,Yb,0
Li0.9 Yb0.1,Li,Yb,0
Ga0.9 Yb0.1,Ga,Yb,0
Ag0.9 Yb0.1,Ag,Yb,0
W0.9 Yb0.1,W,Yb,0
Zn0.9 Yb0.1,Zn,Yb,0
Pd0.9 Yb0.1,Pd,Yb,0
Tc0.9 Yb0.1,Tc,Yb,0
V0.9 Yb0.1,V,Yb,0
Rh0.9 Yb0.1,Rh,Yb,0
Cr0.9 Yb0.1,Cr,Yb,0
Ni0.9 Yb0.1,Ni,Yb,0
Be0.9 Yb0.1,Be,Yb,0
B0.9 Yb0.1,B,Yb,0
Ne0.9 Ca0.1,Ne,Ca,0
K0.9 Ca0.1,K,Ca,0
Sr0.9 Ca0.1,Sr,Ca,0
Yb0.9 Ca0.1,Yb,Ca,0
I0.9 Ca0.1,I,Ca,0
Br0.9 Ca0.1,Br,Ca,0
La0.9 Ca0.1,La,Ca,0
Ac0.9 Ca0.1,Ac,Ca,0
Ar0.9 Ca0.1,Ar,Ca,0
Xe0.9 Ca0.1,Xe,Ca,0
Nd0.9 Ca0.1,Nd,Ca,0
Sm0.9 Ca0.1,Sm,Ca,0
Gd0.9 Ca0.1,Gd,Ca,0
Y0.9 Ca0.1,Y,Ca,0
Dy0.9 Ca0.1,Dy,Ca,0
Er0.9 Ca0.1,Er,Ca,0
Sb0.9 Ca0.1,Sb,Ca,0
Tm0.9 Ca0.1,Tm,Ca,0
Tl0.9 Ca0.1,Tl,Ca,0
P0.9 Ca0.1,P,Ca,0
Se0.9 Ca0.1,Se,Ca,0
S0.9 Ca0.1,S,Ca,0
Sn0.9 Ca0.1,Sn,Ca,0
Pa0.9 Ca0.1,Pa,Ca,0
Hg0.9 Ca0.1,Hg,Ca,0
Zr0.9 Ca0.1,Zr,Ca,0
Ge0.9 Ca0.1,Ge,Ca,0
As0.9 Ca0.1,As,Ca,0
Cd0.9 Ca0.1,Cd,Ca,0
Ga0.9 Ca0.1,Ga,Ca,0
Np0.9 Ca0.1,Np,Ca,0
Nb0.9 Ca0.1,Nb,Ca,0
Ag0.9 Ca0.1,Ag,Ca,0
Au0.9 Ca0.1,Au,Ca,0
W0.9 Ca0.1,W,Ca,0
Pt0.9 Ca0.1,Pt,Ca,0
Re0.9 Ca0.1,Re,Ca,0
Pd0.9 Ca0.1,Pd,Ca,0
Os0.9 Ca0.1,Os,Ca,0
Ru0.9 Ca0.1,Ru,Ca,0
Cr0.9 Ca0.1,Cr,Ca,0
Cu0.9 Ca0.1,Cu,Ca,0
Ni0.9 Ca0.1,Ni,Ca,0
Ba0.9 I0.1,Ba,I,0
Eu0.9 I0.1,Eu,I,0
Yb0.9 I0.1,Yb,I,0
La0.9 I0.1,La,I,0
Xe0.9 I0.1,Xe,I,0
Ce0.9 I0.1,Ce,I,0
Te0.9 I0.1,Te,I,0
Gd0.9 I0.1,Gd,I,0
Tb0.9 I0.1,Tb,I,0
Dy0.9 I0.1,Dy,I,0
Lu0.9 I0.1,Lu,I,0
Se0.9 I0.1,Se,I,0
Sn0.9 I0.1,Sn,I,0
In0.9 I0.1,In,I,0
Sc0.9 I0.1,Sc,I,0
Pa0.9 I0.1,Pa,I,0
Np0.9 I0.1,Np,I,0
Ti0.9 I0.1,Ti,I,0
Au0.9 I0.1,Au,I,0
Pt0.9 I0.1,Pt,I,0
Pd0.9 I0.1,Pd,I,0
Tc0.9 I0.1,Tc,I,0
Ru0.9 I0.1,Ru,I,0
Co0.9 I0.1,Co,I,0
Sr0.9 Br0.1,Sr,Br,0
Eu0.9 Br0.1,Eu,Br,0
I0.9 Br0.1,I,Br,0
Ac0.9 Br0.1,Ac,Br,0
Pr0.9 Br0.1,Pr,Br,0
Ce0.9 Br0.1,Ce,Br,0
Nd0.9 Br0.1,Nd,Br,0
Te0.9 Br0.1,Te,Br,0
Ho0.9 Br0.1,Ho,Br,0
Er0.9 Br0.1,Er,Br,0
Sb0.9 Br0.1,Sb,Br,0
Tm0.9 Br0.1,Tm,Br,0
Lu0.9 Br0.1,Lu,Br,0
Se0.9 Br0.1,Se,Br,0
In0.9 Br0.1,In,Br,0
Hg0.9 Br0.1,Hg,Br,0
As0.9 Br0.1,As,Br,0
Cd0.9 Br0.1,Cd,Br,0
U0.9 Br0.1,U,Br,0
Ga0.9 Br0.1,Ga,Br,0
Np0.9 Br0.1,Np,Br,0
Ta0.9 Br0.1,Ta,Br,0
Ti0.9 Br0.1,Ti,Br,0
Ag0.9 Br0.1,Ag,Br,0
Al0.9 Br0.1,Al,Br,0
Pt0.9 Br0.1,Pt,Br,0
Re0.9 Br0.1,Re,Br,0
V0.9 Br0.1,V,Br,0
Ru0.9 Br0.1,Ru,Br,0
Cu0.9 Br0.1,Cu,Br,0
Fe0.9 Br0.1,Fe,Br,0
Be0.9 Br0.1,Be,Br,0
Kr0.9 Na0.1,Kr,Na,0
K0.9 Na0.1,K,Na,0
Ba0.9 Na0.1,Ba,Na,0
La0.9 Na0.1,La,Na,0
Ac0.9 Na0.1,Ac,Na,0
Bi0.9 Na0.1,Bi,Na,0
Pr0.9 Na0.1,Pr,Na,0
Sm0.9 Na0.1,Sm,Na,0
Te0.9 Na0.1,Te,Na,0
Pm0.9 Na0.1,Pm,Na,0
Dy0.9 Na0.1,Dy,Na,0
Er0.9 Na0.1,Er,Na,0
P0.9 Na0.1,P,Na,0
S0.9 Na0.1,S,Na,0
Sc0.9 Na0.1,Sc,Na,0
Hg0.9 Na0.1,Hg,Na,0
Zr0.9 Na0.1,Zr,Na,0
Ge0.9 Na0.1,Ge,Na,0
Cd0.9 Na0.1,Cd,Na,0
Li0.9 Na0.1,Li,Na,0
U0.9 Na0.1,U,Na,0
Si0.9 Na0.1,Si,Na,0
Np0.9 Na0.1,Np,Na,0
Nb0.9 Na0.1,Nb,Na,0
Ag0.9 Na0.1,Ag,Na,0
Mo0.9 Na0.1,Mo,Na,0
Re0.9 Na0.1,Re,Na,0
Tc0.9 Na0.1,Tc,Na,0
Ir0.9 Na0.1,Ir,Na,0
Os0.9 Na0.1,Os,Na,0
V0.9 Na0.1,V,Na,0
Rh0.9 Na0.1,Rh,Na,0
Mn0.9 Na0.1,Mn,Na,0
Fe0.9 Na0.1,Fe,Na,0
C0.9 Na0.1,C,Na,0
B0.9 Na0.1,B,Na,0
Ne0.9 La0.1,Ne,La,0
Cs0.9 La0.1,Cs,La,0
Rb0.9 La0.1,Rb,La,0
Ba0.9 La0.1,Ba,La,0
Sr0.9 La0.1,Sr,La,0
Br0.9 La0.1,Br,La,0
Ac0.9 La0.1,Ac,La,0
Xe0.9 La0.1,Xe,La,0
Bi0.9 La0.1,Bi,La,0
Pr0.9 La0.1,Pr,La,0
Gd0.9 La0.1,Gd,La,0
Er0.9 La0.1,Er,La,0
Pb0.9 La0.1,Pb,La,0
Tm0.9 La0.1,Tm,La,0
Lu0.9 La0.1,Lu,La,0
P0.9 La0.1,P,La,0
S0.9 La0.1,S,La,0
Sc0.9 La0.1,Sc,La,0
Pa0.9 La0.1,Pa,La,0
Hg0.9 La0.1,Hg,La,0
Mg0.9 La0.1,Mg,La,0
Si0.9 La0.1,Si,La,0
Ga0.9 La0.1,Ga,La,0
Zn0.9 La0.1,Zn,La,0
Tc0.9 La0.1,Tc,La,0
Cr0.9 La0.1,Cr,La,0
Fe0.9 La0.1,Fe,La,0
C0.9 La0.1,C,La,0
B0.9 La0.1,B,La,0
He0.9 Ac0.1,He,Ac,0
Ne0.9 Ac0.1,Ne,Ac,0
Sr0.9 Ac0.1,Sr,Ac,0
Yb0.9 Ac0.1,Yb,Ac,0
I0.9 Ac0.1,I,Ac,0
Ar0.9 Ac0.1,Ar,Ac,0
Ce0.9 Ac0.1,Ce,Ac,0
Sm0.9 Ac0.1,Sm,Ac,0
Te0.9 Ac0.1,Te,Ac,0
Th0.9 Ac0.1,Th,Ac,0
Dy0.9 Ac0.1,Dy,Ac,0
Pb0.9 Ac0.1,Pb,Ac,0
Lu0.9 Ac0.1,Lu,Ac,0
P0.9 Ac0.1,P,Ac,0
S0.9 Ac0.1,S,Ac,0
Sc0.9 Ac0.1,Sc,Ac,0
Hg0.9 Ac0.1,Hg,Ac,0
Zr0.9 Ac0.1,Zr,Ac,0
Mg0.9 Ac0.1,Mg,Ac,0
Ge0.9 Ac0.1,Ge,Ac,0
Si0.9 Ac0.1,Si,Ac,0
Ga0.9 Ac0.1,Ga,Ac,0
Np0.9 Ac0.1,Np,Ac,0
Ta0.9 Ac0.1,Ta,Ac,0
Au0.9 Ac0.1,Au,Ac,0
Pt0.9 Ac0.1,Pt,Ac,0
Tc0.9 Ac0.1,Tc,Ac,0
Mn0.9 Ac0.1,Mn,Ac,0
Cr0.9 Ac0.1,Cr,Ac,0
Cu0.9 Ac0.1,Cu,Ac,0
Co0.9 Ac0.1,Co,Ac,0
B0.9 Ac0.1,B,Ac,0
Ne0.9 Bi0.1,Ne,Bi,0
K0.9 Bi0.1,K,Bi,0
Ba0.9 Bi0.1,Ba,Bi,0
Sr0.9 Bi0.1,Sr,Bi,0
Eu0.9 Bi0.1,Eu,Bi,0
Br0.9 Bi0.1,Br,Bi,0
Ac0.9 Bi0.1,Ac,Bi,0
Nd0.9 Bi0.1,Nd,Bi,0
Te0.9 Bi0.1,Te,Bi,0
Pm0.9 Bi0.1,Pm,Bi,0
Gd0.9 Bi0.1,Gd,Bi,0
Dy0.9 Bi0.1,Dy,Bi,0
Sb0.9 Bi0.1,Sb,Bi,0
Tm0.9 Bi0.1,Tm,Bi,0
Lu0.9 Bi0.1,Lu,Bi,0
P0.9 Bi0.1,P,Bi,0
S0.9 Bi0.1,S,Bi,0
Zr0.9 Bi0.1,Zr,Bi,0
Ge0.9 Bi0.1,Ge,Bi,0
Mo0.9 Bi0.1,Mo,Bi,0
Re0.9 Bi0.1,Re,Bi,0
Ru0.9 Bi0.1,Ru,Bi,0
Mn0.9 Bi0.1,Mn,Bi,0
Cr0.9 Bi0.1,Cr,Bi,0
C0.9 Bi0.1,C,Bi,0
Kr0.9 Pr0.1,Kr,Pr,0
